Event Name,Event Date,Result,Fighter1,Fighter2,KD,Strikes,TD,Sub,Weight Class,Method,Round,Time
UFC on FOX: Dos Anjos vs. Cowboy 2,"December 19, 2015",Karolina Kowalkiewicz,Karolina Kowalkiewicz,Randa Markos,0-0,66-34,0-1,0-0,Women's Strawweight,U-DEC,3,5:00
UFC on FOX: Dos Anjos vs. Cowboy 2,"December 19, 2015",Charles Oliveira,Charles Oliveira,Myles Jury,0-0,5-5,1-0,1-0,Featherweight,SUB-Guillotine-Choke,1,3:05
UFC on FOX: Dos Anjos vs. Cowboy 2,"December 19, 2015",Nate Marquardt,Nate Marquardt,CB Dollaway,1-0,16-15,0-0,0-0,Middleweight,KO/TKO-Punch,2,0:28
UFC on FOX: Dos Anjos vs. Cowboy 2,"December 19, 2015",Valentina Shevchenko,Valentina Shevchenko,Sarah Kaufman,0-0,32-27,4-1,0-0,Women's Bantamweight,S-DEC,3,5:00
UFC on FOX: Dos Anjos vs. Cowboy 2,"December 19, 2015",Tamdan McCrory,Tamdan McCrory,Josh Samman,0-0,39-10,2-2,1-0,Middleweight,SUB-Triangle-Choke,3,4:10
UFC on FOX: Dos Anjos vs. Cowboy 2,"December 19, 2015",Nik Lentz,Nik Lentz,Danny Castillo,0-0,59-57,3-2,2-0,Lightweight,S-DEC,3,5:00
UFC on FOX: Dos Anjos vs. Cowboy 2,"December 19, 2015",Unknown,Cole Miller,Jim Alers,0-0,28-25,0-0,0-0,Featherweight,CNC,2,1:34
UFC on FOX: Dos Anjos vs. Cowboy 2,"December 19, 2015",Kamaru Usman,Kamaru Usman,Leon Edwards,0-0,48-26,6-0,0-0,Welterweight,U-DEC,3,5:00
UFC on FOX: Dos Anjos vs. Cowboy 2,"December 19, 2015",Vicente Luque,Vicente Luque,Hayder Hassan,0-0,12-15,0-0,1-0,Welterweight,SUB-Anaconda-Choke,1,2:13
UFC on FOX: Dos Anjos vs. Cowboy 2,"December 19, 2015",Francis Ngannou,Francis Ngannou,Luis Henrique,1-0,25-5,0-1,0-0,Heavyweight,KO/TKO-Punch,2,2:53
UFC 194: Aldo vs McGregor,"December 12, 2015",Conor McGregor,Conor McGregor,Jose Aldo,1-0,5-1,0-0,0-0,Featherweight,KO/TKO-Punch,1,0:13
UFC 194: Aldo vs McGregor,"December 12, 2015",Luke Rockhold,Luke Rockhold,Chris Weidman,0-0,126-48,2-3,1-0,Middleweight,KO/TKO-Punches,4,3:12
UFC 194: Aldo vs McGregor,"December 12, 2015",Yoel Romero,Yoel Romero,Jacare Souza,1-0,46-30,0-1,0-0,Middleweight,S-DEC,3,5:00
UFC 194: Aldo vs McGregor,"December 12, 2015",Demian Maia,Demian Maia,Gunnar Nelson,0-0,47-2,2-1,1-0,Welterweight,U-DEC,3,5:00
UFC 194: Aldo vs McGregor,"December 12, 2015",Max Holloway,Max Holloway,Jeremy Stephens,0-0,57-47,1-0,0-0,Featherweight,U-DEC,3,5:00
UFC 194: Aldo vs McGregor,"December 12, 2015",Urijah Faber,Urijah Faber,Frankie Saenz,0-0,75-66,2-0,0-0,Bantamweight,U-DEC,3,5:00
UFC 194: Aldo vs McGregor,"December 12, 2015",Tecia Torres,Tecia Torres,Jocelyn Jones-Lybarger,0-0,77-29,0-0,0-0,Women's Strawweight,U-DEC,3,5:00
UFC 194: Aldo vs McGregor,"December 12, 2015",Warlley Alves,Warlley Alves,Colby Covington,0-0,2-2,0-1,1-0,Welterweight,SUB-Guillotine-Choke,1,1:26
UFC 194: Aldo vs McGregor,"December 12, 2015",Leonardo Santos,Leonardo Santos,Kevin Lee,1-0,32-10,1-0,0-0,Lightweight,KO/TKO-Punches,1,3:26
UFC 194: Aldo vs McGregor,"December 12, 2015",Magomed Mustafaev,Magomed Mustafaev,Joe Proctor,1-0,18-9,0-0,0-0,Lightweight,KO/TKO-Knee,1,1:54
UFC 194: Aldo vs McGregor,"December 12, 2015",Yancy Medeiros,Yancy Medeiros,John Makdessi,1-0,80-114,0-0,0-0,Lightweight,S-DEC,3,5:00
UFC 194: Aldo vs McGregor,"December 12, 2015",Court McGee,Court McGee,Marcio Alexandre Junior,0-0,58-23,2-0,0-1,Welterweight,U-DEC,3,5:00
The Ultimate Fighter: Team McGregor vs. Team Faber Finale,"December 11, 2015",Frankie Edgar,Frankie Edgar,Chad Mendes,1-0,13-5,0-0,0-0,Featherweight,KO/TKO-Punch,1,2:28
The Ultimate Fighter: Team McGregor vs. Team Faber Finale,"December 11, 2015",Ryan Hall,Ryan Hall,Artem Lobov,0-0,23-2,1-0,1-0,Lightweight,U-DEC,3,5:00
The Ultimate Fighter: Team McGregor vs. Team Faber Finale,"December 11, 2015",Tony Ferguson,Tony Ferguson,Edson Barboza,0-0,61-41,0-2,1-0,Lightweight,SUB-D'Arce-Choke,2,2:54
The Ultimate Fighter: Team McGregor vs. Team Faber Finale,"December 11, 2015",Evan Dunham,Evan Dunham,Joe Lauzon,0-0,127-42,1-0,0-0,Lightweight,U-DEC,3,5:00
The Ultimate Fighter: Team McGregor vs. Team Faber Finale,"December 11, 2015",Tatsuya Kawajiri,Tatsuya Kawajiri,Jason Knight,0-0,28-28,6-0,0-1,Featherweight,U-DEC,3,5:00
The Ultimate Fighter: Team McGregor vs. Team Faber Finale,"December 11, 2015",Julian Erosa,Julian Erosa,Marcin Wrzosek,0-0,61-52,2-3,2-0,Lightweight,S-DEC,3,5:00
The Ultimate Fighter: Team McGregor vs. Team Faber Finale,"December 11, 2015",Gabriel Gonzaga,Gabriel Gonzaga,Konstantin Erokhin,0-0,20-15,2-0,0-0,Heavyweight,U-DEC,3,5:00
The Ultimate Fighter: Team McGregor vs. Team Faber Finale,"December 11, 2015",Ryan LaFlare,Ryan LaFlare,Mike Pierce,0-0,65-42,0-0,0-0,Welterweight,U-DEC,3,5:00
The Ultimate Fighter: Team McGregor vs. Team Faber Finale,"December 11, 2015",Geane Herrera,Geane Herrera,Joby Sanchez,1-0,40-55,1-0,0-0,Flyweight,KO/TKO-Punch,2,4:28
The Ultimate Fighter: Team McGregor vs. Team Faber Finale,"December 11, 2015",Chris Gruetzemacher,Chris Gruetzemacher,Abner Lloveras,0-0,103-94,0-2,0-0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Namajunas vs. VanZant,"December 10, 2015",Rose Namajunas,Rose Namajunas,Paige VanZant,0-0,57-10,8-0,4-0,Women's Strawweight,SUB-Rear-Naked-Choke,5,2:25
UFC Fight Night: Namajunas vs. VanZant,"December 10, 2015",Michael Chiesa,Michael Chiesa,Jim Miller,0-0,13-7,2-0,1-1,Lightweight,SUB-Rear-Naked-Choke,2,2:57
UFC Fight Night: Namajunas vs. VanZant,"December 10, 2015",Sage Northcutt,Sage Northcutt,Cody Pfister,0-0,8-5,2-2,1-0,Lightweight,SUB-Guillotine-Choke,2,0:41
UFC Fight Night: Namajunas vs. VanZant,"December 10, 2015",Thiago Santos,Thiago Santos,Elias Theodorou,0-0,52-28,1-1,0-0,Middleweight,U-DEC,3,5:00
UFC Fight Night: Namajunas vs. VanZant,"December 10, 2015",Tim Means,Tim Means,John Howard,1-0,37-20,0-3,0-0,Welterweight,KO/TKO-Punch,2,0:21
UFC Fight Night: Namajunas vs. VanZant,"December 10, 2015",Sergio Moraes,Sergio Moraes,Omari Akhmedov,1-1,21-35,0-1,0-0,Welterweight,KO/TKO-Punches,3,2:18
UFC Fight Night: Namajunas vs. VanZant,"December 10, 2015",Unknown,Antonio Carlos Junior,Kevin Casey,0-0,1-0,0-0,0-0,Middleweight,CNC,1,0:11
UFC Fight Night: Namajunas vs. VanZant,"December 10, 2015",Aljamain Sterling,Aljamain Sterling,Johnny Eduardo,0-0,23-4,2-0,1-0,Bantamweight,SUB-Guillotine-Choke,2,4:18
UFC Fight Night: Namajunas vs. VanZant,"December 10, 2015",Santiago Ponzinibbio,Santiago Ponzinibbio,Andreas Stahl,1-0,48-14,0-2,0-0,Welterweight,KO/TKO-Punch,1,4:25
UFC Fight Night: Namajunas vs. VanZant,"December 10, 2015",Danny Roberts,Danny Roberts,Nathan Coy,0-0,6-11,0-1,1-0,Welterweight,SUB-Triangle-Choke,1,2:46
UFC Fight Night: Namajunas vs. VanZant,"December 10, 2015",Zubaira Tukhugov,Zubaira Tukhugov,Phillipe Nover,0-0,21-20,1-0,0-0,Featherweight,S-DEC,3,5:00
UFC Fight Night: Namajunas vs. VanZant,"December 10, 2015",Kailin Curran,Kailin Curran,Emily Kagan,0-0,21-22,1-1,2-0,Women's Strawweight,SUB-Rear-Naked-Choke,2,4:13
UFC Fight Night: Henderson vs Masvidal,"November 28, 2015",Benson Henderson,Benson Henderson,Jorge Masvidal,0-0,86-77,3-1,0-1,Welterweight,S-DEC,5,5:00
UFC Fight Night: Henderson vs Masvidal,"November 28, 2015",Dong Hyun Kim,Dong Hyun Kim,Dominic Waters,0-0,6-0,1-0,0-0,Welterweight,KO/TKO-Punches,1,3:11
UFC Fight Night: Henderson vs Masvidal,"November 28, 2015",Alberto Mina,Alberto Mina,Yoshihiro Akiyama,1-0,69-78,2-0,0-0,Welterweight,S-DEC,3,5:00
UFC Fight Night: Henderson vs Masvidal,"November 28, 2015",Dooho Choi,Dooho Choi,Sam Sicilia,1-0,18-8,0-0,0-0,Featherweight,KO/TKO-Punch,1,1:33
UFC Fight Night: Henderson vs Masvidal,"November 28, 2015",Dongi Yang,Dongi Yang,Jake Collier,0-1,29-22,1-0,0-0,Middleweight,KO/TKO-Punches,2,1:50
UFC Fight Night: Henderson vs Masvidal,"November 28, 2015",Mike de la Torre,Mike de la Torre,Yui Chul Nam,0-0,47-53,0-1,0-0,Featherweight,S-DEC,3,5:00
UFC Fight Night: Henderson vs Masvidal,"November 28, 2015",Tae Hyun Bang,Tae Hyun Bang,Leo Kuntz,1-0,54-31,1-3,2-1,Lightweight,S-DEC,3,5:00
UFC Fight Night: Henderson vs Masvidal,"November 28, 2015",Seo Hee Ham,Seo Hee Ham,Cortney Casey,0-0,71-78,0-0,0-0,Women's Strawweight,U-DEC,3,5:00
UFC Fight Night: Henderson vs Masvidal,"November 28, 2015",Fredy Serrano,Fredy Serrano,Yao Zhikui,0-0,3-1,1-0,0-0,Flyweight,KO/TKO,1,0:44
UFC Fight Night: Henderson vs Masvidal,"November 28, 2015",Marco Beltran,Marco Beltran,Guangyou Ning,0-0,30-23,1-0,0-0,Bantamweight,S-DEC,3,5:00
UFC Fight Night: Henderson vs Masvidal,"November 28, 2015",Dominique Steele,Dominique Steele,Dong Hyun Ma,1-0,36-19,4-0,0-0,Welterweight,KO/TKO-Slam,3,0:27
UFC Fight Night: Magny vs Gastelum,"November 21, 2015",Neil Magny,Neil Magny,Kelvin Gastelum,0-2,54-54,6-2,0-0,Welterweight,S-DEC,5,5:00
UFC Fight Night: Magny vs Gastelum,"November 21, 2015",Ricardo Lamas,Ricardo Lamas,Diego Sanchez,0-0,57-30,3-1,0-0,Featherweight,U-DEC,3,5:00
UFC Fight Night: Magny vs Gastelum,"November 21, 2015",Henry Cejudo,Henry Cejudo,Jussier Formiga,0-0,43-25,2-0,0-0,Flyweight,S-DEC,3,5:00
UFC Fight Night: Magny vs Gastelum,"November 21, 2015",Erick Montano,Erick Montano,Enrique Marin,0-0,49-27,2-1,0-0,Welterweight,S-DEC,3,5:00
UFC Fight Night: Magny vs Gastelum,"November 21, 2015",Enrique Barzola,Enrique Barzola,Horacio Gutierrez,0-0,38-10,5-0,0-0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Magny vs Gastelum,"November 21, 2015",Leandro Silva,Leandro Silva,Efrain Escudero,0-0,35-24,0-2,0-0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Magny vs Gastelum,"November 21, 2015",Erik Perez,Erik Perez,Taylor Lapilus,0-1,31-20,1-0,0-1,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Magny vs Gastelum,"November 21, 2015",Bartosz Fabinski,Bartosz Fabinski,Hector Urbina,0-0,25-10,6-0,0-3,Welterweight,U-DEC,3,5:00
UFC Fight Night: Magny vs Gastelum,"November 21, 2015",Alejandro Perez,Alejandro Perez,Scott Jorgensen,0-0,39-11,0-2,0-0,Bantamweight,KO/TKO,2,4:26
UFC Fight Night: Magny vs Gastelum,"November 21, 2015",Andre Fili,Andre Fili,Gabriel Benitez,1-0,16-11,1-0,0-0,Featherweight,KO/TKO-Punches,1,3:13
UFC Fight Night: Magny vs Gastelum,"November 21, 2015",Alvaro Herrera Mendoza,Alvaro Herrera Mendoza,Vernon Ramos Ho,1-0,4-2,0-0,0-0,Welterweight,KO/TKO-Punches,1,0:30
UFC Fight Night: Magny vs Gastelum,"November 21, 2015",Marco Polo Reyes,Marco Polo Reyes,Cesar Arzamendia,1-0,10-16,0-3,0-0,Lightweight,KO/TKO-Punch,1,3:42
UFC Fight Night: Magny vs Gastelum,"November 21, 2015",Michel Prazeres,Michel Prazeres,Valmir Lazaro,0-0,20-41,1-0,0-0,Lightweight,S-DEC,3,5:00
UFC 193: Rousey vs Holm,"November 14, 2015",Holly Holm,Holly Holm,Ronda Rousey,1-0,38-17,1-0,0-0,Women's Bantamweight,KO/TKO-Kick,2,0:59
UFC 193: Rousey vs Holm,"November 14, 2015",Joanna Jedrzejczyk,Joanna Jedrzejczyk,Valerie Letourneau,0-0,220-103,0-1,0-0,Women's Strawweight,U-DEC,5,5:00
UFC 193: Rousey vs Holm,"November 14, 2015",Mark Hunt,Mark Hunt,Antonio Silva,1-0,12-9,0-0,0-0,Heavyweight,KO/TKO-Punch,1,3:41
UFC 193: Rousey vs Holm,"November 14, 2015",Robert Whittaker,Robert Whittaker,Uriah Hall,0-0,67-45,1-0,0-0,Middleweight,U-DEC,3,5:00
UFC 193: Rousey vs Holm,"November 14, 2015",Jared Rosholt,Jared Rosholt,Stefan Struve,0-0,16-33,4-1,0-0,Heavyweight,U-DEC,3,5:00
UFC 193: Rousey vs Holm,"November 14, 2015",Jake Matthews,Jake Matthews,Akbarh Arreola,0-1,62-21,1-0,0-0,Lightweight,KO/TKO,2,5:00
UFC 193: Rousey vs Holm,"November 14, 2015",Kyle Noke,Kyle Noke,Peter Sobotta,1-0,23-2,0-0,0-0,Welterweight,KO/TKO-Kick,1,2:01
UFC 193: Rousey vs Holm,"November 14, 2015",Gian Villante,Gian Villante,Anthony Perosh,1-0,19-6,0-0,0-0,Light Heavyweight,KO/TKO-Punch,1,2:56
UFC 193: Rousey vs Holm,"November 14, 2015",Danny Martinez,Danny Martinez,Richie Vaculik,0-0,54-63,9-3,0-0,Flyweight,U-DEC,3,5:00
UFC 193: Rousey vs Holm,"November 14, 2015",Daniel Kelly,Daniel Kelly,Steve Montgomery,0-0,63-77,5-0,0-0,Middleweight,U-DEC,3,5:00
UFC 193: Rousey vs Holm,"November 14, 2015",Richard Walsh,Richard Walsh,Steve Kennedy,0-0,93-38,0-3,0-0,Welterweight,U-DEC,3,5:00
UFC 193: Rousey vs Holm,"November 14, 2015",James Moontasri,James Moontasri,Anton Zafir,1-0,11-17,0-1,0-0,Welterweight,KO/TKO-Spinning-Back-Kick,1,4:36
UFC 193: Rousey vs Holm,"November 14, 2015",Ben Nguyen,Ben Nguyen,Ryan Benoit,0-0,11-1,0-0,2-0,Flyweight,SUB-Rear-Naked-Choke,1,2:35
UFC Fight Night: Belfort vs Henderson 3,"November 07, 2015",Vitor Belfort,Vitor Belfort,Dan Henderson,1-0,6-3,0-0,0-0,Middleweight,KO/TKO-Kick,1,2:07
UFC Fight Night: Belfort vs Henderson 3,"November 07, 2015",Glover Teixeira,Glover Teixeira,Patrick Cummins,0-0,54-33,0-4,0-0,Light Heavyweight,KO/TKO-Punches,2,1:12
UFC Fight Night: Belfort vs Henderson 3,"November 07, 2015",Thomas Almeida,Thomas Almeida,Anthony Birchak,1-0,24-27,0-0,0-0,Bantamweight,KO/TKO-Punches,1,4:24
UFC Fight Night: Belfort vs Henderson 3,"November 07, 2015",Alex Oliveira,Alex Oliveira,Piotr Hallmann,1-0,42-36,0-1,0-0,Lightweight,KO/TKO-Punch,3,0:51
UFC Fight Night: Belfort vs Henderson 3,"November 07, 2015",Rashid Magomedov,Rashid Magomedov,Gilbert Burns,2-0,80-28,2-2,0-0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Belfort vs Henderson 3,"November 07, 2015",Corey Anderson,Corey Anderson,Fabio Maldonado,0-0,60-26,6-0,0-0,Light Heavyweight,U-DEC,3,5:00
UFC Fight Night: Belfort vs Henderson 3,"November 07, 2015",Abel Trujillo,Abel Trujillo,Gleison Tibau,0-0,0-3,0-2,0-1,Lightweight,DQ-Rear-Naked-Choke,1,1:45
UFC Fight Night: Belfort vs Henderson 3,"November 07, 2015",Johnny Case,Johnny Case,Yan Cabral,1-0,74-31,0-3,0-0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Belfort vs Henderson 3,"November 07, 2015",Thiago Tavares,Thiago Tavares,Clay Guida,0-0,2-3,0-1,1-0,Featherweight,SUB-Guillotine-Choke,1,0:39
UFC Fight Night: Belfort vs Henderson 3,"November 07, 2015",Chas Skelly,Chas Skelly,Edimilson Souza,0-1,7-19,2-0,2-0,Featherweight,SUB-Rear-Naked-Choke,2,1:56
UFC Fight Night: Belfort vs Henderson 3,"November 07, 2015",Viscardi Andrade,Viscardi Andrade,Gasan Umalatov,0-0,78-38,0-0,0-0,Welterweight,U-DEC,3,5:00
UFC Fight Night: Belfort vs Henderson 3,"November 07, 2015",Jimmie Rivera,Jimmie Rivera,Pedro Munhoz,0-0,96-66,0-0,0-0,Bantamweight,S-DEC,3,5:00
UFC Fight Night: Belfort vs Henderson 3,"November 07, 2015",Matheus Nicolau,Matheus Nicolau,Bruno Korea,2-1,46-27,3-0,3-0,Bantamweight,SUB-Guillotine-Choke,3,3:27
UFC Fight Night: Holohan vs Smolka,"October 24, 2015",Louis Smolka,Louis Smolka,Paddy Holohan,0-0,59-16,0-4,2-0,Flyweight,SUB-Rear-Naked-Choke,2,4:09
UFC Fight Night: Holohan vs Smolka,"October 24, 2015",Norman Parke,Norman Parke,Reza Madadi,0-0,47-33,1-1,0-0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Holohan vs Smolka,"October 24, 2015",Draw,Nicolas Dalby,Darren Till,0-1,84-49,2-0,0-0,Welterweight,M-DEC,3,5:00
UFC Fight Night: Holohan vs Smolka,"October 24, 2015",Neil Seery,Neil Seery,Jon Delos Reyes,0-0,38-25,2-3,2-0,Flyweight,SUB-Guillotine-Choke,2,4:12
UFC Fight Night: Holohan vs Smolka,"October 24, 2015",Stevie Ray,Stevie Ray,Mickael Lebout,0-0,48-27,1-0,0-0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Holohan vs Smolka,"October 24, 2015",Aisling Daly,Aisling Daly,Ericka Almeida,0-0,59-19,2-1,0-0,Women's Strawweight,U-DEC,3,5:00
UFC Fight Night: Holohan vs Smolka,"October 24, 2015",Krzysztof Jotko,Krzysztof Jotko,Scott Askham,0-0,38-22,2-0,0-1,Middleweight,S-DEC,3,5:00
UFC Fight Night: Holohan vs Smolka,"October 24, 2015",Tom Breese,Tom Breese,Cathal Pendred,1-0,23-5,0-0,0-0,Welterweight,KO/TKO-Punches,1,4:37
UFC Fight Night: Holohan vs Smolka,"October 24, 2015",Darren Elkins,Darren Elkins,Robert Whiteford,0-0,40-23,7-1,2-0,Featherweight,U-DEC,3,5:00
UFC Fight Night: Holohan vs Smolka,"October 24, 2015",Garreth McLellan,Garreth McLellan,Bubba Bush,0-0,97-8,2-3,1-0,Middleweight,KO/TKO-Punches,3,4:58
UFC 192: Cormier vs Gustafsson,"October 03, 2015",Daniel Cormier,Daniel Cormier,Alexander Gustafsson,0-1,140-120,1-1,0-0,Light Heavyweight,S-DEC,5,5:00
UFC 192: Cormier vs Gustafsson,"October 03, 2015",Ryan Bader,Ryan Bader,Rashad Evans,0-0,52-25,1-0,0-0,Light Heavyweight,U-DEC,3,5:00
UFC 192: Cormier vs Gustafsson,"October 03, 2015",Ruslan Magomedov,Ruslan Magomedov,Shawn Jordan,0-0,71-20,0-1,0-0,Heavyweight,U-DEC,3,5:00
UFC 192: Cormier vs Gustafsson,"October 03, 2015",Joseph Benavidez,Joseph Benavidez,Ali Bagautinov,0-0,48-31,0-0,0-0,Flyweight,U-DEC,3,5:00
UFC 192: Cormier vs Gustafsson,"October 03, 2015",Julianna Pena,Julianna Pena,Jessica Eye,0-0,34-30,3-1,3-1,Women's Bantamweight,U-DEC,3,5:00
UFC 192: Cormier vs Gustafsson,"October 03, 2015",Yair Rodriguez,Yair Rodriguez,Dan Hooker,0-0,52-19,2-1,0-0,Featherweight,U-DEC,3,5:00
UFC 192: Cormier vs Gustafsson,"October 03, 2015",Albert Tumenov,Albert Tumenov,Alan Jouban,1-0,19-17,0-0,0-0,Welterweight,KO/TKO-Punches,1,2:55
UFC 192: Cormier vs Gustafsson,"October 03, 2015",Adriano Martins,Adriano Martins,Islam Makhachev,1-0,3-4,0-0,0-0,Lightweight,KO/TKO-Punch,1,1:46
UFC 192: Cormier vs Gustafsson,"October 03, 2015",Rose Namajunas,Rose Namajunas,Angela Hill,0-0,13-12,1-0,1-0,Women's Strawweight,SUB-Rear-Naked-Choke,1,2:47
UFC 192: Cormier vs Gustafsson,"October 03, 2015",Sage Northcutt,Sage Northcutt,Francisco Trevino,0-0,21-1,1-0,0-0,Lightweight,KO/TKO-Punches,1,0:57
UFC 192: Cormier vs Gustafsson,"October 03, 2015",Sergio Pettis,Sergio Pettis,Chris Cariaso,1-0,37-37,3-0,0-1,Flyweight,U-DEC,3,5:00
UFC 192: Cormier vs Gustafsson,"October 03, 2015",Derrick Lewis,Derrick Lewis,Viktor Pesta,0-0,41-8,0-5,0-0,Heavyweight,KO/TKO-Punches,3,1:15
UFC Fight Night: Barnett vs Nelson,"September 26, 2015",Josh Barnett,Josh Barnett,Roy Nelson,0-0,146-60,0-4,0-0,Heavyweight,U-DEC,5,5:00
UFC Fight Night: Barnett vs Nelson,"September 26, 2015",Uriah Hall,Uriah Hall,Gegard Mousasi,1-0,18-17,0-1,1-1,Middleweight,KO/TKO-Spinning-Back-Kick,2,0:25
UFC Fight Night: Barnett vs Nelson,"September 26, 2015",Kyoji Horiguchi,Kyoji Horiguchi,Chico Camus,0-0,78-63,0-0,0-0,Flyweight,U-DEC,3,5:00
UFC Fight Night: Barnett vs Nelson,"September 26, 2015",Takeya Mizugaki,Takeya Mizugaki,George Roop,0-0,70-47,0-0,0-0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Barnett vs Nelson,"September 26, 2015",Diego Brandao,Diego Brandao,Katsunori Kikuno,1-0,14-1,0-0,0-0,Featherweight,KO/TKO-Punch,1,0:28
UFC Fight Night: Barnett vs Nelson,"September 26, 2015",Draw,Mizuto Hirota,Teruto Ishihara,0-2,62-88,2-0,0-0,Featherweight,S-DEC,3,5:00
UFC Fight Night: Barnett vs Nelson,"September 26, 2015",Keita Nakamura,Keita Nakamura,Li Jingliang,1-1,40-79,0-1,1-0,Welterweight,SUB-Rear-Naked-Choke,3,2:17
UFC Fight Night: Barnett vs Nelson,"September 26, 2015",Nick Hein,Nick Hein,Yusuke Kasuya,0-0,46-44,0-1,0-0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Barnett vs Nelson,"September 26, 2015",Kajan Johnson,Kajan Johnson,Naoyuki Kotani,1-0,57-21,0-1,0-0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Barnett vs Nelson,"September 26, 2015",Shinsho Anzai,Shinsho Anzai,Roger Zapata,0-0,23-28,2-0,0-1,Welterweight,KO/TKO,3,0:47
UFC 191: Johnson vs Dodson 2,"September 05, 2015",Demetrious Johnson,Demetrious Johnson,John Dodson,0-0,88-58,4-1,0-0,Flyweight,U-DEC,5,5:00
UFC 191: Johnson vs Dodson 2,"September 05, 2015",Andrei Arlovski,Andrei Arlovski,Frank Mir,0-0,39-24,0-1,0-0,Heavyweight,U-DEC,3,5:00
UFC 191: Johnson vs Dodson 2,"September 05, 2015",Anthony Johnson,Anthony Johnson,Jimi Manuwa,1-0,25-8,2-0,0-0,Light Heavyweight,KO/TKO-Punch,2,0:28
UFC 191: Johnson vs Dodson 2,"September 05, 2015",Corey Anderson,Corey Anderson,Jan Blachowicz,0-0,84-20,4-1,0-1,Light Heavyweight,U-DEC,3,5:00
UFC 191: Johnson vs Dodson 2,"September 05, 2015",Paige VanZant,Paige VanZant,Alex Chambers,0-0,73-30,3-0,1-1,Women's Strawweight,SUB-Armbar,3,1:01
UFC 191: Johnson vs Dodson 2,"September 05, 2015",Ross Pearson,Ross Pearson,Paul Felder,0-0,62-60,1-0,0-0,Lightweight,S-DEC,3,5:00
UFC 191: Johnson vs Dodson 2,"September 05, 2015",John Lineker,John Lineker,Francisco Rivera,1-0,28-16,0-0,1-0,Bantamweight,SUB-Guillotine-Choke,1,2:08
UFC 191: Johnson vs Dodson 2,"September 05, 2015",Raquel Pennington,Raquel Pennington,Jessica Andrade,0-0,41-41,2-4,1-1,Women's Bantamweight,SUB-Rear-Naked-Choke,2,4:58
UFC 191: Johnson vs Dodson 2,"September 05, 2015",Tiago dos Santos e Silva,Tiago dos Santos e Silva,Clay Collard,0-1,52-84,1-1,1-0,Featherweight,S-DEC,3,5:00
UFC 191: Johnson vs Dodson 2,"September 05, 2015",Joe Riggs,Joe Riggs,Ron Stallings,1-0,35-24,2-0,0-0,Middleweight,DQ,2,2:28
UFC 191: Johnson vs Dodson 2,"September 05, 2015",Joaquim Silva,Joaquim Silva,Nazareno Malegarie,0-0,49-58,0-1,0-0,Lightweight,S-DEC,3,5:00
UFC Fight Night: Holloway vs Oliveira,"August 23, 2015",Max Holloway,Max Holloway,Charles Oliveira,0-0,14-5,0-0,0-0,Featherweight,KO/TKO,1,1:39
UFC Fight Night: Holloway vs Oliveira,"August 23, 2015",Neil Magny,Neil Magny,Erick Silva,0-0,68-29,4-3,0-0,Welterweight,U-DEC,3,5:00
UFC Fight Night: Holloway vs Oliveira,"August 23, 2015",Patrick Cote,Patrick Cote,Joshua Burkman,1-0,60-45,0-1,0-0,Welterweight,KO/TKO-Punches,3,1:26
UFC Fight Night: Holloway vs Oliveira,"August 23, 2015",Francisco Trinaldo,Francisco Trinaldo,Chad Laprise,1-0,17-8,0-0,0-0,Lightweight,KO/TKO-Punches,1,2:43
UFC Fight Night: Holloway vs Oliveira,"August 23, 2015",Olivier Aubin-Mercier,Olivier Aubin-Mercier,Tony Sims,0-0,3-23,6-0,0-1,Lightweight,U-DEC,3,5:00
UFC Fight Night: Holloway vs Oliveira,"August 23, 2015",Valerie Letourneau,Valerie Letourneau,Maryna Moroz,1-0,69-55,1-0,0-0,Women's Strawweight,U-DEC,3,5:00
UFC Fight Night: Holloway vs Oliveira,"August 23, 2015",Frankie Perez,Frankie Perez,Sam Stout,1-0,12-2,0-0,0-0,Lightweight,KO/TKO-Punches,1,0:54
UFC Fight Night: Holloway vs Oliveira,"August 23, 2015",Felipe Arantes,Felipe Arantes,Yves Jabouin,0-0,4-5,0-2,1-0,Bantamweight,SUB-Armbar,1,4:21
UFC Fight Night: Holloway vs Oliveira,"August 23, 2015",Nikita Krylov,Nikita Krylov,Marcos Rogerio de Lima,0-0,21-5,0-0,1-2,Light Heavyweight,SUB-Rear-Naked-Choke,1,2:29
UFC Fight Night: Holloway vs Oliveira,"August 23, 2015",Chris Kelades,Chris Kelades,Chris Beal,0-0,50-47,1-2,0-0,Flyweight,S-DEC,3,5:00
UFC Fight Night: Holloway vs Oliveira,"August 23, 2015",Shane Campbell,Shane Campbell,Elias Silverio,0-0,44-22,2-2,0-0,Lightweight,U-DEC,3,5:00
